avg(Height_dx0.05),avg(Height_dx0.1),avg(Height_dx0.2),avg(Height_dx0.5),diff(dx0.05-dx0.1),diff(dx0.05-dx0.2),diff(dx0.05-dx0.5)
4.97,4.94,4.88,3.20189,0.03,0.09,1.76811
4.82906,4.76708,4.69185,3.1199,0.06198,0.13721,1.70916
3.8918,3.83892,3.72602,2.90394,0.05288,0.16578,0.98786
3.53837,3.50553,3.25307,2.94846,0.03284,0.2853,0.58991
4.08364,3.97532,3.88863,3.05894,0.10832,0.19501,1.0247
4.2572,4.30673,4.17938,3.17482,-0.04953,0.07782,1.08238
4.08658,4.35915,4.07213,3.24645,-0.27257,0.01445,0.84013
3.8503,4.09892,3.95907,3.27054,-0.24862,-0.10877,0.57976
3.63698,3.71258,3.92217,3.54146,-0.0756,-0.28519,0.09552
3.43464,3.57079,4.05473,3.72888,-0.13615,-0.62009,-0.29424
3.37707,3.64138,4.03577,3.69832,-0.26431,-0.6587,-0.32125
3.37116,3.59789,3.89332,3.48979,-0.22673,-0.52216,-0.11863
3.62933,3.53731,3.53976,3.05514,0.09202,0.08957,0.57419
4.0437,3.42662,3.076,2.53931,0.61708,0.9677,1.50439
4.5989,3.28713,3.08733,2.82814,1.31177,1.51157,1.77076
4.83972,3.5924,3.25638,2.901,1.24732,1.58334,1.93872
6.41045,3.99414,4.26216,3.13828,2.41631,2.14829,3.27217
8.19878,5.88419,4.97755,3.26644,2.31459,3.22123,4.93234
9.59637,7.1721,5.95751,3.57638,2.42427,3.63886,6.01999
9.9315,7.55151,7.13971,3.90857,2.37999,2.79179,6.02293
9.81457,7.66895,7.43346,3.90085,2.14562,2.38111,5.91372
9.70586,7.22745,7.33423,3.4826,2.47841,2.37163,6.22326
8.57321,6.50922,4.34637,2.66197,2.06399,4.22684,5.91124
7.72306,4.91438,3.52696,2.60473,2.80868,4.1961,5.11833
6.48002,3.26725,3.56236,2.87459,3.21277,2.91766,3.60543
4.84556,3.5111,3.48215,2.97143,1.33446,1.36341,1.87413
3.31855,3.53226,3.23437,3.05507,-0.21371,0.08418,0.26348
3.05393,3.24805,2.917,3.82224,-0.19412,0.13693,-0.76831
2.86958,2.94899,3.18818,4.29566,-0.07941,-0.3186,-1.42608
3.21859,3.06127,3.38122,4.32083,0.15732,-0.16263,-1.10224
3.49071,3.39495,3.44041,4.39721,0.09576,0.0503,-0.9065
3.61672,3.81523,3.62508,4.32061,-0.19851,-0.00836,-0.70389
3.52657,3.85058,4.42844,3.41756,-0.32401,-0.90187,0.10901
3.39487,3.49459,4.40728,2.73048,-0.09972,-1.01241,0.66439
3.30018,3.3754,4.02968,2.79145,-0.07522,-0.7295,0.50873
3.59533,3.58774,3.19487,2.68482,0.00759,0.40046,0.91051
3.97824,3.74409,3.24408,3.14695,0.23415,0.73416,0.83129
4.21846,4.02696,3.35432,3.48158,0.1915,0.86414,0.73688
4.52793,4.24145,3.65973,3.65238,0.28648,0.8682,0.87555
4.30665,4.16233,3.6053,3.6116,0.14432,0.70135,0.69505
4.23234,4.23121,3.77461,3.63753,0.00113,0.45773,0.59481
3.89935,3.84539,3.74837,3.90949,0.05396,0.15098,-0.01014
3.5653,3.55043,3.78471,4.13875,0.01487,-0.21941,-0.57345
3.43772,3.35682,3.56686,4.1611,0.0809,-0.12914,-0.72338
3.13243,3.0749,3.27935,3.92422,0.05753,-0.14692,-0.79179
3.16295,2.96733,3.03012,3.462,0.19562,0.13283,-0.29905
3.12239,3.07582,2.83871,3.28919,0.04657,0.28368,-0.1668
3.19381,3.13787,2.7861,3.95105,0.05594,0.40771,-0.75724
3.13047,3.06656,2.90736,4.50755,0.06391,0.22311,-1.37708
2.97373,2.91303,2.93602,4.7,0.0607,0.03771,-1.72627